term,title,brief_description,time_needed,steps_to_make,tips_for_use,intended_use,tlr_type,class_size,bloom_level,budget_band,learning_outcome,search_keywords,slug,last_updated,is_published,download_count,class_level_id,created_by_id,indicator_id,standard_id,strand_id,subject_id,substrand_id
1,Animal Sound Matching Cards,Picture cards featuring farm animals with corresponding sound words to develop phonemic awareness and vocabulary.,short,"1. Print or draw pictures of 10 common animals (cow, sheep, duck, pig, cat, dog, chicken, horse, bee, bird)
2. Create separate cards with sound words (moo, baa, quack, oink, meow, woof, cluck, neigh, buzz, tweet)
3. Laminate all cards for durability
4. Store in a colorful container or bag","- Start with 3-4 familiar animals, gradually add more
- Make the sounds yourself first, then encourage children to join in
- Play memory games: ""What sound does the cow make?""
- Use during circle time or small group activities
- Encourage children to act out the animals while making sounds",aid,flashcard,small,remember,low,Children will identify 6-8 animal sounds and match them to corresponding animals developing phonemic awareness and vocabulary.,"animals, sounds, phonics, vocabulary, nursery",animal-sound-matching-cards,2025-06-28,1,0,2,1,,,1,1,
1,My Name Recognition Puzzle,Personalized puzzles featuring each child's name to promote letter recognition and self-identity.,short,"1. Write each child's name in large, clear letters on cardboard
2. Decorate around the name with pictures representing the child (favorite color, animal, etc.)
3. Cut between each letter to create puzzle pieces
4. Store each puzzle in a labeled envelope or bag
5. Consider making extras for children with longer names","- Start by showing the completed puzzle, then mixing pieces
- Help children identify the first letter of their name
- Encourage children to trace letters with their finger
- Use during arrival time as a settling activity
- Create group activities where children help each other",aid,manipulative,small,understand,low,Children will recognize their own name in print and identify at least the first letter of their name.,"names, letters, identity, puzzles, nursery",my-name-recognition-puzzle,2025-06-28,1,0,2,1,,,1,1,
1,Story Retelling Props Bag,Collection of simple props to help children retell familiar stories and develop narrative skills.,core,"1. Choose 3-4 simple stories (Three Little Pigs, Goldilocks, etc.)
2. Create or collect simple props for each story:
   - Three Little Pigs: 3 small houses (straw, sticks, brick), pig and wolf figures
   - Goldilocks: 3 bowls, 3 chairs, 3 beds (different sizes), girl and bear figures
3. Store each story's props in a separate bag with the book
4. Include picture sequence cards showing story events","- Read the story first, then bring out props
- Encourage children to use props while you retell the story
- Let children take turns using different props
- Ask simple questions: ""What happened next?"" ""How did the pig feel?""
- Allow creative variations of the familiar stories",aid,manipulative,medium,understand,medium,Children will retell simple stories using props and demonstrate understanding of story sequence.,"stories, props, narrative, comprehension, nursery",story-retelling-props-bag,2025-06-28,1,0,2,1,,,1,1,
1,Counting Teddy Bears in Cups,Small teddy bear counters and numbered cups for hands-on counting practice from 1-5.,short,"1. Collect or purchase 15 small teddy bear counters
2. Decorate 5 plastic cups with numbers 1-5
3. Add corresponding dot patterns under each number
4. Create instruction cards showing how many bears go in each cup
5. Store all materials in a basket","- Start with cups 1-3, gradually add 4 and 5
- Count aloud together as children place bears
- Encourage one-to-one correspondence
- Ask ""How many bears are in cup number 3?""
- Let children check their work by counting again",aid,manipulative,small,apply,low,Children will count objects 1-5 with one-to-one correspondence and recognize written numerals 1-5.,"counting, numbers, bears, manipulatives, nursery",counting-teddy-bears-in-cups,2025-06-28,1,0,2,1,,,2,2,
1,Shape Hunt Discovery Bags,Fabric bags containing real objects in basic shapes for tactile shape recognition.,short,"1. Create 4 fabric bags in different colors
2. Label each bag with a shape (circle, square, triangle, rectangle)
3. Fill bags with real objects:
   - Circle bag: buttons, coins, bottle caps, rings
   - Square bag: blocks, crackers, small books, tiles
   - Triangle bag: triangular blocks, cut sandwiches, musical triangles
   - Rectangle bag: phones, cards, books, erasers","- Let children feel objects without looking first
- Ask ""What shape do you think this is?""
- Take objects out and name the shape together
- Compare objects: ""How are these the same?""
- Go on shape hunts around the classroom",aid,manipulative,small,understand,low,Children will identify and name 4 basic shapes through tactile exploration and visual recognition.,"shapes, tactile, exploration, geometry, nursery",shape-hunt-discovery-bags,2025-06-28,1,0,2,1,,,2,2,
1,Big and Small Sorting Baskets,Collection of paired objects in different sizes to teach size comparison and sorting skills.,short,"1. Collect pairs of objects in two sizes:
   - Big and small balls, spoons, cups, books, shoes, hats, boxes
2. Create two labeled baskets: ""BIG"" and ""SMALL"" with picture symbols
3. Include measuring tools: large and small containers, string pieces
4. Add picture cards showing big and small comparisons","- Start with very obvious size differences
- Use comparison language: ""This ball is bigger than that ball""
- Let children physically compare by holding objects
- Encourage children to explain their sorting choices
- Connect to children's experiences: ""big like daddy, small like baby""",aid,manipulative,small,analyze,low,Children will compare objects by size using terms big/small and sort objects into size categories.,"size, comparison, sorting, measurement, nursery",big-and-small-sorting-baskets,2025-06-28,1,0,2,1,,,2,2,
1,Nature Collage Creation Station,Outdoor collection of natural materials for creating seasonal collages and exploring textures.,core,"1. Set up collection containers for nature walks
2. Gather diverse natural materials: leaves, flowers, twigs, seeds, stones, feathers
3. Prepare large cardboard bases for collages
4. Create texture exploration trays
5. Set up drying area for finished artwork","- Take children on nature walks to collect materials together
- Encourage touching and describing textures
- Ask open questions: ""What does this feel like?"" ""What colors do you see?""
- Allow free exploration without predetermined outcomes
- Display finished work to celebrate creativity",aid,manipulative,medium,create,none,Children will explore natural textures create original artwork and develop fine motor skills through collage making.,"nature, art, textures, creativity, nursery",nature-collage-creation-station,2025-06-28,1,0,2,1,,,3,3,
1,Emotion Expression Masks,Simple masks showing different emotions to help children identify and express feelings.,short,"1. Cut face shapes from paper plates
2. Draw or paste pictures showing basic emotions: happy, sad, angry, surprised, scared
3. Attach craft sticks as handles
4. Create a feelings mirror for children to practice expressions
5. Include emotion picture books","- Start with happy and sad, gradually add others
- Use masks during story time to show character emotions
- Encourage children to make faces behind masks
- Ask ""How does this character feel?"" during stories
- Use for conflict resolution: ""Show me how you felt""",aid,manipulative,medium,understand,low,Children will identify basic emotions and express their own feelings appropriately.,"emotions, feelings, masks, social skills, nursery",emotion-expression-masks,2025-06-28,1,0,2,1,,,3,3,
1,Weather Observation Chart,Interactive chart for daily weather observation and recording developing scientific thinking.,starter,"1. Create large poster board with days of the week
2. Design weather symbol cards: sunny, cloudy, rainy, windy
3. Add pockets or velcro strips for moveable symbols
4. Include thermometer picture and simple temperature indicators
5. Create weather clothing matching cards","- Use during morning circle time daily
- Look outside together and discuss observations
- Let children choose appropriate weather symbols
- Connect weather to clothing choices
- Keep simple weather journal with pictures",aid,poster,large,understand,low,Children will observe and describe daily weather patterns and make connections between weather and appropriate clothing.,"weather, observation, science, daily routine, nursery",weather-observation-chart,2025-06-28,1,0,2,1,,,4,4,
1,Community Helper Role Play Kit,Dress-up items and props representing different community helpers to promote social awareness.,core,"1. Gather simple costume pieces for each helper:
   - Doctor: white coat, stethoscope, medical bag
   - Firefighter: red hat, hose, badge
   - Teacher: books, glasses, pointer
   - Police officer: hat, badge, whistle
   - Chef: apron, hat, wooden spoons
2. Create matching picture cards showing each helper
3. Add props specific to each job","- Introduce one helper at a time during dramatic play
- Ask children about helpers they know in their community
- Encourage role playing: ""What does a doctor do?""
- Connect to field trips or community visits
- Use during discussions about safety and help",aid,manipulative,medium,understand,medium,Children will identify community helpers and describe how they help people in the community.,"community, helpers, role play, careers, nursery",community-helper-role-play-kit,2025-06-28,1,0,2,1,,,4,4,
